user,Apr
70311,1
70391,2
70581,4
71143,2
71542,2
71601,7
71950,1
72009,1
72029,1
72126,5
72264,1
72372,1
72422,1
72451,6
72476,1
72479,4
72647,1
72664,3
72857,1
73182,1
73301,1
73302,3
73354,2
73500,1
73728,1
73793,1
73893,6
73918,1
73950,2
74073,1
74119,1
74226,2
74240,1
74337,6
74397,1
74465,1
74474,2
74484,1
74503,1
74560,3
74669,2
74916,1
74969,1
75073,2
75080,2
75241,2
75416,1
75750,7
75799,2
75878,1
76010,4
76073,2
76168,8
76180,1
76410,4
77184,1
77252,1
77258,8
77331,13
77509,1
77670,5
77691,4
78014,1
78049,1
78086,3
78278,3
78456,7
78591,14
78745,2
79004,1
79171,2
79198,2
79238,2
79260,1
79355,3
79558,3
79670,3
79772,1
79987,3
79995,1
80037,1
80061,2
80067,2
80099,1
80297,5
80401,3
80751,2
80801,2
80894,2
81062,1
81137,1
81159,1
81178,1
81376,1
81823,1
81865,2
81970,2
82060,1
82115,3
82142,5
82159,22
82277,1
82351,1
82364,1
82458,1
82544,6
82691,3
82781,1
82798,1
82872,3
83067,2
83083,2
83151,1
83170,5
83179,3
83205,3
83253,9
83307,1
83400,7
83427,1
83483,2
83604,6
83686,1
83739,3
83845,2
83973,2
83997,1
84049,2
84069,5
84077,1
84080,1
84085,1
84191,1
84250,3
84343,1
84592,2
84672,22
84675,2
84714,11
84744,3
84859,5
85026,1
85095,1
85253,2
85257,9
85293,2
85330,2
85336,1
85411,3
85490,1
85811,2
85875,4
86311,5
86465,2
86493,1
86943,2
87121,6
87181,1
87352,2
87548,9
87554,3
87678,1
87768,1
87878,1
87975,2
88045,1
88175,1
88489,3
88534,1
88588,1
88689,5
88819,2
88896,1
88928,22
88984,1
89048,1
89142,2
89225,1
89276,1
89285,1
89714,3
89787,1
89871,1
89893,3
90198,1
90262,11
90333,1
90353,1
90379,9
90503,1
90597,6
90646,1
90692,1
90811,3
90846,2
90879,1
91124,2
91125,2
91223,1
91305,2
91393,1
91500,1
91683,1
91853,1
91961,2
91983,2
91992,1
92097,2
92125,2
92292,1
92296,2
92526,1
92663,1
92754,1
92772,1
92956,2
93060,2
93064,1
93107,2
93269,1
93295,1
93319,2
93326,1
93375,1
93421,1
93488,1
93505,3
93574,1
93711,1
93809,1
93913,1
93932,3
93946,4
93969,1
94011,2
94151,3
94271,1
94319,1
94414,1
94700,1
94711,2
94748,2
95090,1
95112,3
95193,2
95331,2
95467,4
95499,1
95544,2
95545,1
95597,3
95703,4
95764,2
95837,2
95898,1
95913,2
95953,2
96001,1
96178,6
97006,2
97071,2
97126,2
97342,5
97384,1
97398,2
97559,1
97674,2
97707,1
97742,4
98058,3
98098,1
98101,1
98106,3
98211,11
98319,3
98699,1
98710,5
98715,4
98929,3
98989,4
98990,5
99062,2
99090,7
99251,2
99321,2
99383,3
99450,2
99459,1
99485,1
99553,1
99641,1
99717,15
99734,3
99779,1
99885,7
99949,2
